Sigma0.4,,Sigma0.6,,Sigma0.8,,Sigma1.0,,Sigma1.2,,Sigma1.4,,Sigma1.6,,Sigma1.8,,Sigma2.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.518134715,0.017667845,0.450009595,0.001635912,0.569948187,0.052758147,0.090193821,0.0425337,-0.029744771,0.011860359,0.210132412,0.032309253,0.210132412,0.032309253,0.210132412,0.0425337,0.210132412,0.032309253
10.05181347,0.335689046,14.00307043,0.727571653,9.20552677,0.656000523,7.646325082,0.645776076,8.845710996,0.860489465,4.647860296,0.533307159,5.367491844,0.717347206,6.327000576,0.942285041,3.208597198,0.512858265
23.31606218,0.777385159,25.99692957,1.320589583,25.15735943,1.627322994,17.84110535,1.473956288,18.08098254,1.770465253,11.12454423,1.2592429,11.36442142,1.473956288,13.0435617,1.944280853,6.926693533,1.136549535
43.41968912,1.395759717,37.87085012,1.831811936,36.7914028,2.363483183,28.99539436,2.322585395,27.91594704,2.680441042,18.32085972,2.066974218,18.92055268,2.455503206,20.59969296,2.976950007,12.9236231,2.1283209
52.5388601,1.643109541,49.26501631,2.322585395,46.86624448,2.956501112,38.95029745,3.079194477,37.03127998,3.508621254,26.59662253,2.966725559,27.79600844,3.518845701,27.0763769,3.876701348,16.28190367,2.690665489
68.29015544,1.961130742,58.86010363,2.690665489,51.90366532,3.263234524,47.10612167,3.692661301,50.22452504,4.715106007,33.19324506,3.702885748,35.11226252,4.428821489,33.55306083,4.786677137,22.87852619,3.713110195
,,63.53770869,2.874705536,56.82114757,3.508621254,55.74170025,4.326577019,57.42084053,5.349021725,40.26962195,4.479943725,44.34753406,5.604632901,41.10919209,5.839795184,30.43465746,4.837799372
,,69.65457686,3.007623348,66.2962963,3.958496924,64.61715602,4.868472713,65.45672616,5.942039654,46.6263673,5.185430572,57.06102476,7.158748855,49.3849549,6.954259914,37.63097294,5.962488549
,,,,69.65457686,4.070965842,69.89445404,5.154757231,69.77451545,6.126079702,57.18096335,6.207875278,64.25734024,7.854011255,57.18096335,8.027826855,43.74784111,6.903137678
,,,,,,,,,,63.53770869,6.749770972,66.89598925,8.048275749,63.05795433,8.67196702,49.98464786,7.874460149
,,,,,,,,,,70.13433122,7.148524408,69.89445404,8.170969114,66.53617348,8.958251538,56.34139321,8.876455961
,,,,,,,,,,,,,,69.77451545,9.132067138,62.93801574,9.694411726
,,,,,,,,,,,,,,,,65.45672616,9.950022903
