Sigma0.4,,Sigma0.6,,Sigma0.8,,Sigma1.0,,Sigma1.2,,Sigma1.4,,Sigma1.6,,Sigma1.8,,Sigma2.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.88,0.091666667,4.8,0.05,3.36,0.041666667,4.48,0.05,3.84,0.05,6.4,0.091666667,4.16,0.058333333,3.52,0.058333333,0.96,0.016666667
2.08,0.016666667,14.24,0.166666667,12.16,0.141666667,11.84,0.166666667,11.52,0.166666667,12.16,0.2,12.32,0.208333333,6.56,0.116666667,10.88,0.208333333
18.03546326,0.169591986,20.32,0.25,17.76,0.241666667,19.36,0.3,20.48,0.35,19.04,0.358333333,18.4,0.366666667,12.8,0.245833333,16.64,0.35
21.51510726,0.201177164,25.44,0.333333333,23.04,0.358333333,25.28,0.433333333,25.6,0.491666667,24.96,0.508333333,24.96,0.541666667,19.84,0.416666667,23.04,0.525
24.50607029,0.231842386,30.27603834,0.419179011,28.32,0.458333333,29.76,0.558333333,30.72,0.633333333,31.2,0.691666667,29.12,0.683333333,26.08,0.608333333,31.2,0.816666667
34.56230032,0.36636049,33.9028754,0.501138784,30.93546326,0.522214154,32.58402556,0.632014232,34.56230032,0.764841103,35.88115016,0.855803442,32.96,0.816666667,31.68,0.816666667,38.4,1.141666667
38.02428115,0.412153887,37.52971246,0.566186223,34.56230032,0.608857343,36.21086262,0.741814309,38.18913738,0.89038266,39.50798722,1.004605964,37.76,1.016666667,39.04,1.141666667,42.31054313,1.36007721
40.4971246,0.446498935,41.15654952,0.632274422,38.18913738,0.707989641,39.83769968,0.85863951,41.81597444,1.035048165,42.96996805,1.173755325,39.50798722,1.108499734,44,1.425,45.4428115,1.545540469
48.79488818,0.586741214,44.78338658,0.712673056,41.81597444,0.8055608,43.46453674,0.985091732,45.31092652,1.194362354,46.26709265,1.358359957,42.80511182,1.262225624,47.25623003,1.664116747,48.08051118,1.742656511
66.56,0.958333333,48.41022364,0.795413399,45.4428115,0.915621067,47.0913738,1.12637477,48.54210863,1.361222045,49.39936102,1.545540469,45.93738019,1.469924121,50.1,1.863653809,50.55335463,1.933659954
69.76,1.058333333,52.0370607,0.889081712,49.06964856,1.033487027,50.71821086,1.284830332,51.87220447,1.547257721,52.20191693,1.734438232,48.90479233,1.653942026,52.20191693,2.06404166,52.86134185,2.163322018
,,55.66389776,0.992116855,52.69648562,1.166964372,54.34504792,1.461238987,55.00447284,1.748748669,54.67476038,1.91842956,51.54249201,1.850352769,54.50990415,2.258941289,54.67476038,2.342460064
,,59.29073482,1.109202246,55.66389776,1.285499391,57.80702875,1.655444622,57.80702875,1.945874933,56.9827476,2.108553933,54.01533546,2.04722349,57.05601704,2.545412191,56.48817891,2.560150426
,,62.91757188,1.243460161,65.22555911,1.767829251,60.93929712,1.851783813,59.78530351,2.095061235,59.12587859,2.299700479,56.15846645,2.233872471,59.12587859,2.746472311,58.30159744,2.75036475
,,66.54440895,1.398793446,68.35782748,1.963691427,63.74185304,2.048910077,66.04984026,2.656030351,61.10415335,2.484305112,58.46645367,2.462839457,61.10415335,2.96275071,59.95015974,2.977728967
,,69.34696486,1.514057508,,,66.21469649,2.245934124,68.02811502,2.859238552,62.91757188,2.675492545,60.2798722,2.651451012,62.55122471,3.188473997,61.37891374,3.168343983
,,,,,,68.52268371,2.45445763,69.51182109,2.990894569,64.56613419,2.859238552,61.9284345,2.831762513,64.40127796,3.402319622,62.75271565,3.374414271
,,,,,,,,,,66.21469649,3.05157082,63.57699681,3.027529286,65.7201278,3.604096778,64.0715655,3.58907082
,,,,,,,,,,67.69840256,3.234887513,65.06070288,3.211275293,67.03897764,3.808020501,65.39041534,3.805873935
,,,,,,,,,,69.34696486,3.425931842,66.37955272,3.389440229,68.35782748,4.031263312,67.20383387,3.989763046
,,,,,,,,,,,,67.69840256,3.576191427,69.34696486,4.190109159,67.53354633,4.198695421
,,,,,,,,,,,,69.34696486,3.779399627,,,68.68753994,4.426231363
,,,,,,,,,,,,,,,,69.51182109,4.524973376
