Sigma0.4,,Sigma0.6,,Sigma0.8,,Sigma1.0,,Sigma1.2,,Sigma1.4,,Sigma1.6,,Sigma1.8,,Sigma2.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.5181347150259068,0.017667844522968323,0.45000959508731686,0.0016359115299025007,0.5699481865284985,0.05275814683941782,0.09019382076377003,0.042533699777514755,-0.029744770677411658,0.011860358591805564,0.2101324122049526,0.03230925271561169,0.2101324122049526,0.03230925271561169,0.2101324122049526,0.042533699777514755,0.2101324122049526,0.03230925271561169
10.051813471502589,0.33568904593639637,14.003070427940898,0.7275716529250076,9.205526770293613,0.6560005234916879,7.646325081558244,0.6457760764297849,8.845710995970066,0.8604894647297456,4.647860295528691,0.5333071587488529,5.367491844175785,0.7173472058631063,6.327000575705242,0.9422850412249684,3.2085971982345054,0.5128582646250468
23.3160621761658,0.7773851590106009,25.996929572059113,1.3205895825153746,25.157359431970836,1.6273229943724612,17.841105354058726,1.4739562884439188,18.08098253694109,1.7704652532391023,11.124544233352527,1.259242900143958,11.36442141623489,1.4739562884439188,13.043561696411441,1.9442808532914508,6.926693532911152,1.136549535401123
43.419689119170975,1.3957597173144887,37.870850124736144,1.831811935610519,36.7914028017655,2.363483182829471,28.99539435808866,2.322585394581859,27.915947035118023,2.6804410417484608,18.320859719823453,2.066974218034286,18.920552677029363,2.455503206386597,20.599692957205914,2.9769500065436443,12.923623104970257,2.128320900405704
52.53886010362694,1.6431095406360416,49.265016311648445,2.322585394581859,46.866244482824804,2.956501112419838,38.95029744770678,3.079194477162673,37.03127998464787,3.5086212537625947,26.59662252926502,2.966725559481741,27.79600844367684,3.5188457008244978,27.076376895029746,3.8767013479910997,16.28190366532336,2.690665488810364
68.29015544041451,1.9611307420494715,58.86010362694301,2.690665488810364,51.90366532335445,3.2632345242769265,47.106121665707164,3.692661300876847,50.224525043177906,4.715106007067137,33.19324505853004,3.7028857479387502,35.11226252158895,4.428821489333855,33.55306083285358,4.786677136500456,22.878526194588375,3.7131101950006524
,,63.53770869314912,2.8747055359246154,56.82114757244291,3.5086212537625947,55.74170024947228,4.3265770187148265,57.42084052964882,5.349021724905116,40.269621953559785,4.47994372464337,44.34753406255998,5.604632901452689,41.10919209364806,5.839795183876455,30.434657455382848,4.837799371809972
,,69.65457685664941,3.0076233477293535,66.2962962962963,3.9584969244863224,64.61715601611976,4.86847271299568,65.45672615620802,5.942039654495484,46.62636729994244,5.18543057191467,57.061024755325285,7.158748854861928,49.38495490308963,6.95425991362387,37.63097294185378,5.962488548619289
,,,,69.65457685664941,4.070965842167253,69.89445403953178,5.154757230728961,69.7745154480906,6.1260797016097355,57.18096334676647,6.207875278104959,64.25734024179621,7.854011255071326,57.18096334676647,8.027826855123674,43.74784110535406,6.903137678314356
,,,,,,,,,,63.53770869314912,6.749770972385813,66.89598925350222,8.04827574924748,63.05795432738439,8.671967020023557,49.98464786029554,7.874460149195131
,,,,,,,,,,70.13433122241415,7.148524407800026,69.89445403953178,8.170969113990315,66.53617347917867,8.958251537756837,56.34139320667819,8.876455961261614
,,,,,,,,,,,,,,69.7745154480906,9.132067137809187,62.9380157359432,9.694411726213847
,,,,,,,,,,,,,,,,65.45672615620802,9.950022902761418
